FromCouponDate;ToCouponDate;NumberOfCoupons;InitialPrice;PriceAfterDiscount;NameOfBusiness;Category;Keywords;Area;ProminentInNewsletter;ExtraDeal;RequiresPhysicalVisit;MultipleStores;LatinName;PopularBrand;MaxCouponsPerPerson;MaxNumCouponsWithSameName;MinCoupons;Address;GeographicalArea;Video;BottomImage;PhoneReservation;ValidForSaturdays;ValidForSundays;ValidForEveryWeekday;ValidWithoutTimeExceptions;OnePersonCoupon;ExtraDiscounts;ComboDeal;Has Options;NumberOfVisits;DealStartDate;DealEndDate;Location;Amount;AmountPerDay;Discount;CouponDuration;WeekendDeal;Month;MonthAvg;Normalized;ID;RoundedDiscount;RoundedPrice;RoundedCouponDuration;HasFewerCouponsOnSameNameThanCanBuy;URL;DaysForActivation;QuantizedDealsForActivation
15/7/10 0:00;15/7/10 23:59;813;450;30;Silk Line;Beauty;;;Yes;No;Yes;No;Yes;No;4;4;10;Γλυφάδα;3;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;;;Single;17/7/2010;31/12/2010;Athens;24390;24390,00;0,93;168;No;7;12428;1,962504023;7_15_Silk Line_Athens_No;1,00;30;3;No;http://www.goldendeals.gr/deals/30euros-silkline;1;1
16/7/10 0:00;16/7/10 23:59;123;60;15;Fake Bake;Beauty;tanning;;Yes;No;Yes;Yes;Yes;No;4;4;10;Πλατεία Μαβίλη;1;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;;;Single;19/7/2010;31/10/2010;Athens;1845;1845,00;0,75;105;No;7;12428;0,148455101;7_16_Fake Bake_Athens_No;0,80;15;2;No;http://www.goldendeals.gr/deals/15euros-fakebake;2;2
17/7/10 0:00;18/7/10 23:59;108;50;24;Planet Blue;Outdoor Activities;;;Yes;No;Yes;No;Yes;No;1;1;20;1o χιλιόμετρο Λαυρίου - Σουνίου (πρώην εργοστάσιο ΒΕΛΠΕΞ);6;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;21/7/2010;31/12/2010;Athens;2592;1296,45;0,52;164;Yes;7;2746;0,472123145;7_17_Planet Blue_Athens_No;0,60;25;3;No;http://www.goldendeals.gr/deals/24euros-scuba-diving;2;2
19/7/10 0:00;19/7/10 23:59;517;75;12;Chic To Chic;Beauty;;;Yes;No;Yes;No;Yes;No;3;3;20;Γλυφάδα;3;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;;;Single;21/7/2010;31/10/2010;Athens;6204;6204,00;0,84;103;No;7;12428;0,499195365;7_19_Chic To Chic_Athens_No;0,80;10;2;No;http://www.goldendeals.gr/deals/12euros-chic-to-chic;1;1
20/7/10 0:00;20/7/10 23:59;548;58;25;Kona Kai;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;20;Ν. Κόσμος;1;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;22/7/2010;31/12/2010;Athens;13700;13700,00;0,57;163;No;7;12428;1,102349533;7_20_Kona Kai_Athens_No;0,60;25;3;No;http://www.goldendeals.gr/deals/25euros-konakai;1;1
21/7/10 0:00;21/7/10 23:59;67;30;9;Zanias;Products;car tuning;;Yes;No;Yes;No;No;No;100;100;10;Ελληνικό;3;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;23/7/2010;31/12/2010;Athens;603;603,00;0,70;162;No;7;12428;0,048519472;7_21_Zanias_Athens_No;0,80;10;3;No;http://www.goldendeals.gr/deals/9euros-zanias-center;1;1
22/7/10 0:00;22/7/10 23:59;622;23,5;11,5;gbk;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;20;Μαρούσι;2;No;Yes;No;No;Yes;Yes;Yes;No;No;;;Single;26/7/2010;30/10/2010;Athens;7153;7153,00;0,51;97;No;7;12428;0,575555198;7_22_gbk_Athens_No;0,60;10;2;No;http://www.goldendeals.gr/deals/11.5euros-gbk;3;3
23/7/10 0:00;23/7/10 23:59;469;185;15;pure;Gym / Exercise / Fit;;;Yes;No;Yes;No;Yes;No;4;4;10;Γλυφάδα;3;No;No;Yes;Yes;No;Yes;Yes;Yes;No;;;Multiple;26/7/2010;3/12/2010;Athens;7035;7035,00;0,92;131;No;7;12428;0,566060509;7_23_pure_Athens_No;1,00;15;3;No;http://www.goldendeals.gr/deals/15euros-pure-lifestyle-training;2;2
24/7/10 0:00;25/7/10 23:59;413;35;19;Atlantis Sports Club;Leisure;;;Yes;No;Yes;No;Yes;No;4;4;10;Παλλήνη ;6;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;27/7/2010;31/12/2010;Athens;7847;3924,86;0,46;158;Yes;7;2746;1,429301821;7_24_Atlantis Sports Club_Athens_No;0,40;20;3;No;http://www.goldendeals.gr/deals/10euros-atlantis-sport-club;1;1
26/7/10 0:00;26/7/10 23:59;1374;600;70;nails+more;Beauty;;;Yes;No;Yes;Yes;Yes;No;100;100;10; Κηφισιά;1,2;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Unlimited;2/8/2010;2/8/2011;Athens;96180;96180,00;0,88;366;No;7;12428;7,738976505;7_26_nails+more_Athens_No;0,80;70;4;No;http://www.goldendeals.gr/deals/70euros-nails-and-more;6;5
27/7/10 0:00;27/7/10 23:59;100;40;24;misueno;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;20;Μετς;1;No;No;Yes;No;Yes;Yes;Yes;Yes;No;;;Single;29/7/2010;30/9/2010;Athens;2400;2400,00;0,40;64;No;7;12428;0,193112327;7_27_misueno_Athens_No;0,40;25;1;No;http://www.goldendeals.gr/deals/24euros-misueno;1;1
28/7/10 0:00;28/7/10 23:59;310;19,4;8;volta fun park;Family Activities / Kid;;;Yes;No;Yes;Yes;Yes;No;2;2;20;Μαρούσι, ’λιμος, Π. Φάληρο, Αγ. Κοσμάς, Σαρωνίδα;2,3,6;No;No;No;No;No;Yes;Yes;No;Yes;;;Single;30/7/2010;30/9/2010;Athens;2480;2480,00;0,59;63;No;7;12428;0,199549405;7_28_volta fun park_Athens_No;0,60;10;1;No;http://www.goldendeals.gr/deals/8euros-volta-fun-park;1;1
29/7/10 0:00;29/7/10 23:59;21;50;15;Old School Surf Shop;Outdoor Activities;;;Yes;No;Yes;No;Yes;No;4;1;10;Νέος Κόσμος;1;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;31/7/2010;31/12/2010;Athens;315;315,00;0,70;154;No;7;12428;0,025345993;7_29_Old School Surf Shop_Athens_No;0,80;15;3;Yes;http://www.goldendeals.gr/deals/15euros-old-school-surf-shop;1;1
30/7/10 0:00;30/7/10 23:59;768;120;10;Beauty for you;Beauty;;;Yes;No;Yes;No;Yes;No;100;100;10;Νέα Ιωνία;2;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;20/8/2010;20/2/2011;Athens;7680;7680,00;0,92;185;No;7;12428;0,617959446;7_30_Beauty for you_Athens_No;1,00;10;4;No;http://www.goldendeals.gr/deals/10euros-beauty-for-you;20;5
31/7/10 0:00;2/8/10 23:59;306;170;50;Dolphin Resort Hotel;Leisure;Vacations;;Yes;No;Yes;No;Yes;No;10;10;10;Κάλαμος;6;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;4/8/2010;30/9/2010;Athens;15300;5101,18;0,71;58;Yes;7;2746;1,857676922;7_31_Dolphin Resort Hotel_Athens_No;0,80;50;1;No;http://www.goldendeals.gr/deals/50euros-dolphin-resort-hotel;1;1
3/8/10 0:00;3/8/10 23:59;172;52;26;Sao Tao Chinese Restaurant;Tasting;Non-Greek;;Yes;No;Yes;No;Yes;No;2;2;20;Γλυφάδα;3;No;No;Yes;Yes;Yes;Yes;Yes;No;No;;;Single;5/8/2010;31/10/2010;Athens;4472;4472,00;0,50;88;No;8;4547;0,983505608;8_3_Sao Tao Chinese Restaurant_Athens_No;0,60;25;2;No;http://www.goldendeals.gr/deals/26euros-sao-tao;1;1
4/8/10 0:00;4/8/10 23:59;524;17;5;Gala by Thodoris;Beauty;Hair Salon;;Yes;No;Yes;No;Yes;No;2;2;20;Χαλάνδρι;2;Yes;No;Yes;No;No;No;Yes;Yes;No;;;Single;24/8/2010;28/2/2011;Athens;2620;2620,00;0,71;189;No;8;4547;0,576204091;8_4_Gala by Thodoris_Athens_No;0,80;5;4;No;http://www.goldendeals.gr/deals/5euros-gala-by-thodoris;19;5
5/8/10 0:00;5/8/10 23:59;605;115;25;Beauty Bar;Beauty;;;Yes;No;Yes;No;Yes;No;100;100;20;Πειραιάς;5;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;;;Single;7/8/2010;28/2/2011;Athens;15125;15125,00;0,78;206;No;8;4547;3,326369035;8_5_Beauty Bar_Athens_No;0,80;25;4;No;http://www.goldendeals.gr/deals/25euros-beauty-bar;1;1
6/8/10 0:00;6/8/10 23:59;509;35;9;Athens Segway Tours;Leisure;;;Yes;No;Yes;No;Yes;Yes;100;100;10; Πλάκα;1;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;;;Single;10/8/2010;31/12/2010;Athens;4581;4581,00;0,74;144;No;8;4547;1,007477458;8_6_Athens Segway Tours_Athens_No;0,80;10;3;No;http://www.goldendeals.gr/deals/9euros-athens-segway-tours;3;3
7/8/10 0:00;9/8/10 23:59;204;24;9;Πισίνα;Leisure;;;Yes;No;Yes;No;No;Yes;6;6;30;Φρεαττύδα, Πειραιάς;5;No;No;No;Yes;Yes;Yes;Yes;Yes;No;;;Single;11/8/2010;30/9/2010;Athens;1836;612,14;0,63;51;Yes;8;1501;0,407822585;8_7_Πισίνα_Athens_No;0,60;10;1;No;http://www.goldendeals.gr/deals/9euros-pisina;1;1
10/8/10 0:00;10/8/10 23:59;125;60;30;Saloon Piano Restaurant;Tasting;Greek;;Yes;No;Yes;No;Yes;No;4;4;10;Ιλίσια;1;No;No;Yes;Yes;Yes;Yes;Yes;No;No;;;Single;12/8/2010;30/9/2010;Athens;3750;3750,00;0,50;50;No;8;4547;0,824719595;8_10_Saloon Piano Restaurant_Athens_No;0,60;30;1;No;http://www.goldendeals.gr/deals/30euros-saloon-piano-restaurant;1;1
11/8/10 0:00;11/8/10 23:59;404;120;10;Lipogen;Beauty;;;Yes;No;Yes;No;Yes;No;2;2;10; Νέα Σμύρνη ;3;No;No;Yes;Yes;No;Yes;No;Yes;No;;;Single;17/8/2010;31/3/2011;Athens;4040;4040,00;0,92;227;No;8;4547;0,888497911;8_11_Lipogen_Athens_No;1,00;10;4;No;http://www.goldendeals.gr/deals/10euros-lipogen;5;5
12/8/10 0:00;12/8/10 23:59;429;24;7;Retro B;Beauty;Hair Salon;;Yes;No;Yes;No;Yes;No;100;100;10;Περιστέρι ;4;No;Yes;Yes;Yes;No;No;No;Yes;No;;;Single;27/8/2010;31/3/2011;Athens;3003;3003,00;0,71;217;No;8;4547;0,660435452;8_12_Retro B_Athens_No;0,80;5;4;No;http://www.goldendeals.gr/deals/7euros-retrob;14;5
