@RELATION RevenuePerDay

@ATTRIBUTE PriceAfterDiscount NUMERIC
@ATTRIBUTE Category0 NUMERIC
@ATTRIBUTE Category1 NUMERIC
@ATTRIBUTE Category2 NUMERIC
@ATTRIBUTE Category3 NUMERIC
@ATTRIBUTE Category4 NUMERIC
@ATTRIBUTE Category5 NUMERIC
@ATTRIBUTE Category6 NUMERIC
@ATTRIBUTE Category7 NUMERIC
@ATTRIBUTE RequiresPhysicalVisit NUMERIC
@ATTRIBUTE MultipleStores NUMERIC
@ATTRIBUTE LatinName NUMERIC
@ATTRIBUTE PopularBrand NUMERIC
@ATTRIBUTE Video NUMERIC
@ATTRIBUTE BottomImage NUMERIC
@ATTRIBUTE PhoneReservation NUMERIC
@ATTRIBUTE ValidForSaturdays NUMERIC
@ATTRIBUTE ValidForSundays NUMERIC
@ATTRIBUTE ValidForEveryWeekday NUMERIC
@ATTRIBUTE ValidWithoutTimeExceptions NUMERIC
@ATTRIBUTE OnePersonCoupon NUMERIC
@ATTRIBUTE ExtraDiscounts NUMERIC
@ATTRIBUTE ComboDeal NUMERIC
@ATTRIBUTE Has Options NUMERIC
@ATTRIBUTE NumberOfVisits0 NUMERIC
@ATTRIBUTE NumberOfVisits1 NUMERIC
@ATTRIBUTE NumberOfVisits2 NUMERIC
@ATTRIBUTE Location0 NUMERIC
@ATTRIBUTE Location1 NUMERIC
@ATTRIBUTE Discount NUMERIC
@ATTRIBUTE WeekendDeal NUMERIC
@ATTRIBUTE RoundedCouponDuration0 NUMERIC
@ATTRIBUTE RoundedCouponDuration1 NUMERIC
@ATTRIBUTE RoundedCouponDuration2 NUMERIC
@ATTRIBUTE RoundedCouponDuration3 NUMERIC
@ATTRIBUTE HasFewerCouponsOnSameNameThanCanBuy NUMERIC
@ATTRIBUTE MonthAvg NUMERIC
@ATTRIBUTE Normalized NUMERIC

@DATA
26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,4547.0,0.9835056
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.71,0.0,0.0,0.0,0.0,1.0,0.0,4547.0,0.57620406
25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.78,0.0,0.0,0.0,0.0,1.0,0.0,4547.0,3.326369
9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.74,0.0,0.0,0.0,1.0,0.0,0.0,4547.0,1.0074774
9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.63,1.0,1.0,0.0,0.0,0.0,0.0,1501.0,0.40782258
30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4547.0,0.8247196
10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.92,0.0,0.0,0.0,0.0,1.0,0.0,4547.0,0.8884979
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.71,0.0,0.0,0.0,0.0,1.0,0.0,4547.0,0.66043544
25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,4547.0,0.841214
373.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,1.0,1501.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,4547.0,0.0
18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.66,0.0,0.0,0.0,1.0,0.0,0.0,4547.0,0.17022212
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.79,0.0,0.0,0.0,1.0,0.0,0.0,4547.0,0.120079175
17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53,0.0,0.0,1.0,0.0,0.0,0.0,4547.0,0.8935562
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.67,1.0,0.0,0.0,1.0,0.0,1.0,1116.0,0.068713635
10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.94,1.0,0.0,0.0,1.0,0.0,0.0,1501.0,2.527789
